,type,gaw_score,gaw10_score,gaw20_score,degree_std,first_density,second_density,third_density,small_community,first_strength,second_strength,in_strength_1,in_strength_2,out_strength_1,out_strength_2,in_out_strength_1,in_out_strength_2,motif_4_1,motif_4_2,motif_5_1,motif_5_2,motif_6_1,motif_6_2,motif_7_1,motif_7_2,motif_8_1,motif_8_2,motif_9_1,motif_9_2,motif_10_1,motif_10_2,motif_11_1,motif_11_2,motif_12_1,motif_12_2,motif_13_1,motif_13_2,motif_14_1,motif_14_2,motif_15_1,motif_15_2,motif_16_1,motif_16_2,NetEMD_upper_1,NetEMD_upper_2,NetEMD_lower_1,NetEMD_lower_2,NetEMD_comb_1,NetEMD_comb_2,NetEMD_rw_1,NetEMD_rw_2,upper_ipr_1,upper_exp_1,upper_ipr_2,upper_exp_2,upper_ipr_3,upper_exp_3,upper_ipr_4,upper_exp_4,upper_ipr90,upper_abs90,upper_sign_stat_1,upper_sign_stat_2,upper_sign_equal_1,upper_sign_equal_2,upper_absolute_value,lower_ipr_1,lower_exp_1,lower_ipr_2,lower_exp_2,lower_ipr_3,lower_exp_3,lower_ipr_4,lower_exp_4,lower_ipr90,lower_abs90,lower_sign_stat_1,lower_sign_stat_2,lower_sign_equal_1,lower_sign_equal_2,lower_absolute_value,comb_ipr_1,comb_exp_1,comb_ipr_2,comb_exp_2,comb_ipr_3,comb_exp_3,comb_ipr_4,comb_exp_4,comb_ipr90,comb_abs90,comb_sign_stat_1,comb_sign_stat_2,comb_sign_equal_1,comb_sign_equal_2,comb_absolute_value,rw_ipr_1,rw_exp_1,rw_ipr_2,rw_exp_2,rw_ipr_3,rw_exp_3,rw_ipr_4,rw_exp_4,rw_ipr90,rw_abs90,rw_sign_stat_1,rw_sign_stat_2,rw_sign_equal_1,rw_sign_equal_2,rw_absolute_value,path_2,path_3,path_4,path_5,path_6,path_7,path_8,path_9,path_10,path_11,path_12,path_13,path_14,path_15,path_16,path_17,path_18,path_19,path_20
0,star,0.0,0,0.0,-0.6577067294840376,1.880425825175453,0.01541332643586437,0.0,0,1.2047430321202108,0.009874942886231237,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,3.3742752993038283,1.6448536269514722,0.0,0.0,0.0,0.0,0.0,0.0,6.084690562281244,6.4906249203417055,0.0,0.0,1.7255936323703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.916705693796606,3.1864330480300307,2.149863402025541,8.0,8.0,0.0,0.0,5.906989823395328,5.1247525083318095,2.739587658198839,0.0,0.0,0.0,0.0,0.0,1.4010822175225202,0.0,0.0,0.0,2.4550417770008357,0.0,0.0,2.3172686149064936,5.856130337962749,0.0,0.0,0.0,0.0,0.0,0.0,1.9810021012063874,7.3352361857717865,0.0,10.048849911825663,12.236783499848451,8.0,12.058572253026437,11.166249221881484,8.366506797948634,0.0,0.0,0.0,0.0,0.0,0.0,1.6411485784183604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2654942041533204,0.0,0.0,0.4429889003613143,0.029164761690693698
1,0,0.0,0,0.0,-0.19157864338620784,2.0624327628289554,0.02083265416998945,0.0,0,1.306889939639869,0.013200908481210798,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.012006534260276,33.06571736968406,0.0,0.0,0.0,0.0,0.0,0.0,28.43561974438915,45.33683058599791,22.2502068888655,0.3405246430736981,3.998369065494823,0.02897368888039727,1.1377921996324731,54.43105881623089,53.20638957478285,0.0,0.0,0.0,0.0,0.0,0.0,11.297444646873586,38.58808987409932,17.60463963426954,0.2773291895950959,3.925110356513236,0.028442828670385768,1.3969707419395214,24.263253941287473,31.645200296829252,0.0,2.061687094193745,8.0,8.0,0.0,0.0,8.455366656226,41.571395804038815,14.741966040389359,0.23011526205779023,1.8969079156467996,0.01374570953367246,1.3154584279511978,44.90192276572786,47.68122849936773,0.0,0.0,0.0,0.0,0.0,0.0,14.323498151116928,39.828861856427494,22.135644525678277,0.33829153048680605,2.02054775746378,0.014641650416404202,1.9027122339723184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24014323341520474,0.0,0.3807648737458686,0.9002777161868472,0.0
2,0,0.0,0,0.0,-0.3081106649106653,1.880425825175453,0.01541332643586437,0.0,0,1.2047430321202108,0.009874942886231237,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.238428915325449,8.175194330641048,0.0,0.0,0.0,0.0,0.0,0.0,11.963043498037276,17.750049453523452,12.898083115740203,0.22790437059193597,0.0,0.0,1.1028485972007942,27.879882193213056,22.978950207101956,0.0,0.0,0.0,0.0,0.0,0.0,13.973737558908681,12.507123448896985,7.78478627101118,0.1530378162416003,0.0,0.0,0.9958430743768271,11.823342465053909,14.084065268382648,8.0,7.869777910570139,0.0,0.0,0.0,2.0556449875425478,5.677225636243186,23.28099397354731,1.7144167942893926,0.03117121444162532,0.0,0.0,2.0449087175475653,19.895608966554647,17.607930905654936,0.0,1.6529118791043285,0.0,0.0,0.0,0.0,10.769486752465976,17.798640593882,14.12927183305508,0.26845499947731327,0.0,0.0,1.6462626238493374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05313923137428352,0.0,0.0,0.178198944778353,0.024806658231933516,0.0,0.961073445825871,0.0
3,ring,0.0,0,0.0,-0.4246426864351227,1.6194901362051455,0.009470702550907284,0.0,0,1.1742197746700942,0.006866782308012247,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.980550638639407,5.2154928724049086,2.8828202036216877,3.3581015519493946,8.892670979090454,10.672930466906275,0.0,0.0,0.0,0.0,0.0,0.0,2.7329085192341713,0.0,0.0,23.104227357780992,26.18577288875567,8.0,8.0,29.622450883582808,23.498578407941295,0.0,0.0,0.0,0.0,0.0,0.0,1.1179486476995661,0.0,0.0,0.0,3.3234646031179524,0.0,0.0,4.700131095469836,9.688640435893006,1.7034370626817439,0.0,0.0,0.0,0.0,0.0,2.935623457094341,0.0,0.0,45.25047589925407,44.80811398700126,22.135454145332943,24.914811421602074,37.64940335474353,31.043950987487793,0.0,0.0,0.0,0.0,0.0,0.0,2.270470454371582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04356238065539712,0.0,0.0,0.0,0.0,0.011104419470186306,0.3886835849190785,0.0
4,0,0.0,0,0.0,-0.6577067294840376,1.880425825175453,0.01541332643586437,0.0,0,1.2047430321202108,0.009874942886231237,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.149327958652382,24.195666613939032,18.337653553238702,18.997552647604817,47.746379346917,42.602512442381126,0.0,0.0,0.0,0.0,0.0,0.0,1.351643337731602,0.0,0.0,58.77171665215424,58.23335975555682,40.0,40.0,54.336713299729915,43.61884338729249,0.0,0.0,0.0,0.0,0.0,0.0,2.760200992245749,0.0,0.0,38.964110206408286,40.16774139380606,36.297041457013975,36.921628183087385,57.49033986804005,36.09000719408388,0.0,0.0,0.0,0.0,0.0,0.0,3.218809883943469,0.0,0.0,65.59976823861824,70.61454766423284,56.0,57.85698772619311,88.08371480319819,71.34394370646736,0.0,0.0,0.0,0.0,0.0,0.0,2.505829420006557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0,0.0,0,0.0,-0.0750466218617504,2.6088295521468745,0.04348049253578124,0.2648606257629082,0,1.5349558991526233,0.02558259831921039,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.980550638639407,5.2154928724049086,2.8828202036216877,3.3581015519493946,8.892670979090454,10.672930466906275,0.0,0.0,0.0,0.0,0.0,0.0,2.0850051850318474,0.0,0.0,23.104227357780992,26.18577288875567,8.0,8.0,29.622450883582808,23.498578407941295,0.0,0.0,0.0,0.0,0.0,0.0,2.5505069412836723,0.0,0.0,0.0,3.3234646031179524,0.0,0.0,4.700131095469836,9.688640435893006,1.7034370626817439,0.0,0.0,0.0,0.0,0.0,2.3494552509145956,0.0,0.0,45.25047589925407,44.80811398700126,22.135454145332943,24.914811421602074,37.64940335474353,31.043950987487793,0.0,0.0,0.0,0.0,0.0,0.0,2.2004246764917545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1986569665182801,0.0,0.0,0.0,0.0011818296927568655,0.38598608925439154,0.09397747595235338
6,0,0.0,0,0.0,-0.19157864338620784,1.6194901362051455,0.009470702550907284,0.0,0,1.1742197746700942,0.006866782308012247,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.355057330231723,7.5782371569513,0.0,0.0,0.0,0.0,0.0,0.0,16.586382689216432,5.138676131540505,0.0,0.0,0.0,0.0,1.3075857674185138,3.308252678110872,1.6738968929429312,0.0,0.0,0.0,0.0,0.0,0.0,11.37514255757373,7.072999758016076,0.0,0.0,0.0,0.0,1.9910806506506913,5.853776577238613,6.174426290995015,0.0,0.0,0.0,0.0,0.0,0.0,13.558449036555832,7.317089826917661,1.6954508793793126,0.033244134889790444,0.0,0.0,0.8907848348817137,17.53040348828268,15.002002248775192,0.0,1.8301934203474344,0.0,0.0,1.8225243151070656,1.9422038178584065,11.32736321313515,6.849711292258991,0.0,0.0,0.0,0.0,1.2629909998243116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5763521447553672,0.0,0.28121686833354836,0.716172725261925,0.0
7,0,0.0,0,0.0,-0.19157864338620784,2.5054597797872318,0.035792282568389025,0.03626544756880203,0,1.3756161417362103,0.019651659167660148,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.355057330231723,7.5782371569513,0.0,0.0,0.0,0.0,0.0,0.0,16.586382689216432,5.138676131540505,0.0,0.0,0.0,0.0,1.080944685244153,3.308252678110872,1.6738968929429312,0.0,0.0,0.0,0.0,0.0,0.0,11.37514255757373,7.072999758016076,0.0,0.0,0.0,0.0,1.5433678378432991,5.853776577238613,6.174426290995015,0.0,0.0,0.0,0.0,0.0,0.0,13.558449036555832,7.317089826917661,1.6954508793793126,0.033244134889790444,0.0,0.0,0.8843829886055536,17.53040348828268,15.002002248775192,0.0,1.8301934203474344,0.0,0.0,1.8225243151070656,1.9422038178584065,11.32736321313515,6.849711292258991,1.7630778652007455,0.03326562009812727,0.0,0.0,1.339257321001365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19017910017094963,0.06812032710276679,0.3880651907188696,0.7944563943908328,0.0
8,0,0.0,0,0.0,-0.3081106649106653,2.5054597797872318,0.035792282568389025,0.03626544756880203,0,1.3756161417362103,0.019651659167660148,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.478558785650877,0.0,0.0,0.0,0.0,0.0,0.0,1.573983244372162,3.8959132655996873,0.0,2.277348233321159,5.5668865240817835,0.0,0.0,4.2018100979014585,5.9001730947874425,0.0,0.0,0.0,0.0,0.0,0.0,1.3156751938734093,4.814344596364958,3.380078077284756,1.739668854124586,2.791383915298323,8.0,8.0,7.256262853524909,8.255235443440208,2.2778089568149937,0.0,0.0,0.0,0.0,0.0,2.0388514079682474,8.877141224769119,3.395430139548065,0.0,0.0,0.0,0.0,6.032539969812717,5.122771390035148,0.0,0.0,0.0,0.0,0.0,0.0,1.9920261665933794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19414132169672674
9,0,0.0,0,0.0,0.1580174211871645,1.6194901362051455,0.009470702550907284,0.0,0,1.1742197746700942,0.006866782308012247,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.084690562281244,6.4906249203417055,0.0,0.0,1.7255936323703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6884580879080329,3.1864330480300307,2.149863402025541,8.0,8.0,0.0,0.0,5.906989823395328,5.1247525083318095,2.739587658198839,0.0,0.0,0.0,0.0,0.0,1.5757135184289437,0.0,0.0,0.0,2.4550417770008357,0.0,0.0,2.3172686149064936,5.856130337962749,0.0,0.0,0.0,0.0,0.0,0.0,1.509542493874077,7.3352361857717865,0.0,10.048849911825663,12.236783499848451,8.0,12.058572253026437,11.166249221881484,8.366506797948634,0.0,0.0,0.0,0.0,0.0,0.0,2.7112105372605675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2978744240352412,0.0,0.0,0.6601858373413918,0.0
